timestamp,open,high,low,close,volume
1718285400,7.1,7.1075,7.0972,7.1046,899750
1718285700,7.1046,7.107,7.0478,7.0501,1529540
1718286000,7.0501,7.0779,7.0466,7.0744,1099770
1718286300,7.0744,7.1094,7.0719,7.107,566488
1718286600,7.107,7.1097,7.0096,7.0123,1046783
1718286900,7.0123,7.0152,6.9434,6.9463,538970
1718287200,6.9463,6.9604,6.929,6.9431,1350631
1718287500,6.9431,6.9458,6.9178,6.9204,849067
1718287800,6.9204,6.9238,6.91,6.9109,793672
1718288100,6.9109,6.9163,6.91,6.91,619329
1718288400,6.91,6.9141,6.91,6.91,1604187
1718288700,6.91,6.9275,6.91,6.92,805801
1718289000,6.92,6.9261,6.9018,6.9079,1156015
1718289300,6.9079,6.9091,6.8771,6.8783,851557
1718289600,6.8783,6.8789,6.8485,6.8491,951307
1718289900,6.8491,6.8575,6.847,6.8554,1128813
1718290200,6.8554,6.8664,6.8528,6.8638,397303
1718290500,6.8638,6.8703,6.8609,6.8674,701655
1718290800,6.8674,6.8687,6.8408,6.8421,650727
1718291100,6.8421,6.8437,6.8366,6.8382,598148
1718291400,6.8382,6.8413,6.8286,6.8317,717452
1718291700,6.8317,6.8323,6.8268,6.8275,1738448
1718292000,6.8275,6.8436,6.8229,6.839,533982
1718292300,6.839,6.8431,6.8309,6.835,1335975
1718292600,6.8348,6.837,6.8234,6.8255,306793
1718292900,6.8255,6.8335,6.8239,6.8319,711646
1718293200,6.8319,6.835,6.8312,6.8343,441154
1718293500,6.8343,6.8442,6.8328,6.8428,561348
1718293800,6.8428,6.8434,6.8383,6.8389,709434
1718294100,6.8389,6.8437,6.8368,6.8415,697401
1718294400,6.8415,6.8498,6.8409,6.8493,778047
1718294700,6.8493,6.8505,6.8455,6.8467,531048
1718295000,6.8467,6.8541,6.8452,6.8526,451441
1718295300,6.8526,6.8529,6.8458,6.8462,536054
1718295600,6.8462,6.8477,6.8415,6.843,239949
1718295900,6.843,6.8436,6.8391,6.8397,270572
1718296200,6.8333,6.8421,6.8325,6.8413,167750
1718296500,6.8413,6.8416,6.83,6.83,306086
1718296800,6.83,6.8353,6.83,6.8335,312382
1718297100,6.8335,6.8379,6.8323,6.8367,552151
1718297400,6.8367,6.8371,6.8329,6.8332,424870
1718297700,6.8332,6.8342,6.83,6.83,334509
1718298000,6.83,6.8324,6.83,6.83,581656
1718298300,6.83,6.8335,6.83,6.83,154446
1718298600,6.83,6.8305,6.83,6.83,203232
1718298900,6.83,6.8312,6.83,6.83,176080
1718299200,6.83,6.8431,6.83,6.8405,230286
1718299500,6.8405,6.8409,6.8396,6.8399,140595
1718299800,6.835,6.8352,6.83,6.8301,229277
1718300100,6.8301,6.8302,6.83,6.83,351133
1718300400,6.83,6.831,6.83,6.83,167360
1718300700,6.83,6.8307,6.83,6.83,118786
